https://osgeo.geolexica.org/api/geolexica#hasNote,For relating concept to note.,osgeo:hasNote,http://www.w3.org/2002/07/owl#ObjectProperty,https://osgeo.geolexica.org/api/geolexica#Note,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#termID,For relating term ID values.,Term ID,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#skosrdfURI,For relating skosrdfURI values.,osgeo:skosrdfURI property,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://osgeo.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,,,,
http://purl.org/dc/terms/publisher,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#OSGeoConceptScheme,,OSGeo Concept Scheme (Geolexica),http://www.w3.org/2004/02/skos/core#ConceptScheme,,,,,OSGeo Concept Scheme (Geolexica)@en,,,,,,,,,,,,
,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,,,,,
http://purl.org/dc/terms/identifier,,dcterms:identifier property,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#integer,http://www.w3.org/2004/02/skos/core#Concept,,,,Use for termIDs.,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#review_status,For relating review status values.,osgeo:review_status property,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#entry_status,For relating entry status info values.,osgeo:entry_status property,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#hasOrigin,For relating concept to origin.,osgeo:hasOrigin,http://www.w3.org/2002/07/owl#ObjectProperty,https://osgeo.geolexica.org/api/geolexica#Origin,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#,,,http://www.w3.org/2002/07/owl#Ontology,,,,,,,Version 1.0,OSGeo Geolexxica Glossary in RDF is under development as of 2022-03-18.@en,https://osgeo.geolexica.org/api/geolexica/v1.0/,osgeo,https://osgeo.geolexica.org/api/geolexica#,OSGeo Geolexica Ontology@en,Copyright 2022 OSGeo,http://www.w3.org/2004/02/skos/core,https://www.osgeo.org/,2022-03-18^^http://www.w3.org/2001/XMLSchema#date,2022-03-18^^http://www.w3.org/2001/XMLSchema#date
