subject,http://purl.org/dc/terms/source,http://purl.org/dc/terms/description,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#comment,http://purl.org/vocab/vann/preferredNamespacePrefix,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/conformsTo,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2002/07/owl#versionIRI,http://purl.org/dc/terms/license,http://purl.org/dc/terms/created
https://isotc211.geolexica.org/api/sources#ISO-19154-2014,https://www.iso.org/standard/32572.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Ubiquitous public access — Reference model@en,ISO 19154:2014,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19105-2000,https://www.iso.org/standard/26010.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Conformance and testing@en,ISO 19105:2000,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#CEOS_WGCV,,,CEOS WGCV,http://www.w3.org/2002/07/owl#NamedIndividual,CEOS WGCV@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19106-2004,https://www.iso.org/standard/37805.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Positioning services@en,ISO 19106:2004,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#VIM_Derived,,,Derived from VIM,http://www.w3.org/2002/07/owl#NamedIndividual,Derived from VIM@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,See VIM:1993@en,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-2859-5,https://www.iso.org/standard/39295.html^^http://www.w3.org/2001/XMLSchema#anyURI,Sampling procedures for inspection by attributes — Part 5: System of sequential sampling plans indexed by acceptance quality limit (AQL) for lot-by-lot inspection@en,ISO 2859-5:2005,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19104-2008,https://www.iso.org/standard/45020.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Terminology@en,ISO/TS 19104:2008,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Dictionary_Computing,,,"Dictionary of Computing, Fourth Edition, Oxford University Press",http://www.w3.org/2002/07/owl#NamedIndividual,"Dictionary of Computing, Fourth Edition, Oxford University Press@en",Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19159-2014,https://www.iso.org/standard/60080.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Calibration and validation of remote sensing imagery sensors and data — Part 1: Optical sensors@en,ISO/TS 19159-1:2014,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#VIM_1993,,,VIM:1993,http://www.w3.org/2002/07/owl#NamedIndividual,VIM:1993@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19104-2016,https://www.iso.org/standard/63541.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Terminology@en,ISO 19104:2016,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-3534-2-2006,https://www.iso.org/standard/40147.html^^http://www.w3.org/2001/XMLSchema#anyURI,Statistics — Vocabulary and symbols — Part 2: Applied statistics@en,ISO 3534-2:2006,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-2009,https://www.iso.org/standard/63598.html^^http://www.w3.org/2001/XMLSchema#anyURI,Information technology — Vocabulary@en,"ISO/IEC 2382:2009, 2121317",http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19160-2015,https://www.iso.org/standard/61710.html^^http://www.w3.org/2001/XMLSchema#anyURI,Addressing — Part 1: Conceptual model@en,ISO 19160-1:2015,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19125-1-2004,https://www.iso.org/standard/40114.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Simple feature access — Part 1: Common architecture@en,ISO 19125-1:2004,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19135-2005,https://www.iso.org/standard/32553.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Procedures for item registration@en,ISO 19135:2005,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19162-2019,https://www.iso.org/standard/76496.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Well-known text representation of coordinate reference systems@en,ISO 19162:2019,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Albota-2002,,,Albota 2002,http://www.w3.org/2002/07/owl#NamedIndividual,Albota 2002@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19117-2005,https://www.iso.org/standard/40395.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Portrayal@en,ISO 19117:2005,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19157-2013,https://www.iso.org/standard/32575.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Data quality@en,ISO 19157:2013,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#TR_Law_Dict,http://dictionary.lp.findlaw.com/^^http://www.w3.org/2001/XMLSchema#anyURI,,"Thomson Reuters, “Law Dictionary,” FindLaw, for legal professionals, 2010, available at <http://dictionary.lp.findlaw.com/>",http://www.w3.org/2002/07/owl#NamedIndividual,"Thomson Reuters, “Law Dictionary,” FindLaw, for legal professionals, 2010, available at <http://dictionary.lp.findlaw.com/>@en",,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19155-2017,https://www.iso.org/standard/63593.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Place Identifier (PI) architecture — Part 2: Place Identifier (PI) linking@en,ISO 19155-2:2017,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19147-2015,https://www.iso.org/standard/44874.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Transfer Nodes@en,ISO 19147:2015,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#OWL,,,OWL Web Ontology Language Guide,http://www.w3.org/2002/07/owl#NamedIndividual,OWL Web Ontology Language Guide@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#W3C-XLink-2001,,,W3C XLink:2001,http://www.w3.org/2002/07/owl#NamedIndividual,W3C XLink:2001@en,Need source URI@en,,,,,,,,
