s,p,o
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,规定了实现一致性所要满足的全部要求的抽象测试模块。
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,http://www.w3.org/2004/02/skos/core#definition,적합성 시험에 요구되는 모든 사항들을 규정한 추상 시험 모듈
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#araRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#danRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#deuRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#engRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#finRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#fraRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#jpnRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#korRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#rusRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#spaRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#sweRegistry
https://osgeo.geolexica.org/api/concepts/abstract_test_suite,https://osgeo.geolexica.org/api/geolexica#origin,https://osgeo.geolexica.org/api/geolexica#zhoRegistry
