s,o
https://isotc211.geolexica.org/api/concepts#data_quality_result,data quality result
https://isotc211.geolexica.org/api/concepts#data_quality_scope,data quality scope
https://isotc211.geolexica.org/api/concepts#data_quality_subelement,data quality subelement
https://isotc211.geolexica.org/api/concepts#data_quality_value_type,data quality value type
https://isotc211.geolexica.org/api/concepts#data_quality_value_unit,data quality value unit
https://isotc211.geolexica.org/api/concepts#data_transfer,data transfer
https://isotc211.geolexica.org/api/concepts#data_type,data type
https://isotc211.geolexica.org/api/concepts#dataset,dataset
https://isotc211.geolexica.org/api/concepts#dataset_series,dataset series
https://isotc211.geolexica.org/api/concepts#day,day
https://isotc211.geolexica.org/api/concepts#definition,definition
https://isotc211.geolexica.org/api/concepts#dependencyUML,dependency (UML)
https://isotc211.geolexica.org/api/concepts#deprecated_term,deprecated term
https://isotc211.geolexica.org/api/concepts#direct_eval_method,direct evaluation method
https://isotc211.geolexica.org/api/concepts#direct_position,direct position
https://isotc211.geolexica.org/api/concepts#directed_edge,directed edge
https://isotc211.geolexica.org/api/concepts#directed_face,directed face
https://isotc211.geolexica.org/api/concepts#directed_node,directed node
https://isotc211.geolexica.org/api/concepts#directed_solid,directed solid
https://isotc211.geolexica.org/api/concepts#directed_topo_object,directed topological object
https://isotc211.geolexica.org/api/concepts#discrete_coverage,discrete coverage
https://isotc211.geolexica.org/api/concepts#distribution_transparency,distribution transparency
https://isotc211.geolexica.org/api/concepts#domain,domain
https://isotc211.geolexica.org/api/concepts#easting,easting
https://isotc211.geolexica.org/api/concepts#edge,edge
https://isotc211.geolexica.org/api/concepts#edge_node_graph,edge-node graph
https://isotc211.geolexica.org/api/concepts#elementXML,element (XML)
https://isotc211.geolexica.org/api/concepts#ellipsoid,ellipsoid
https://isotc211.geolexica.org/api/concepts#ellipsoid_height,ellipsoid height
https://isotc211.geolexica.org/api/concepts#encoding,encoding
https://isotc211.geolexica.org/api/concepts#encoding_rule,encoding rule
https://isotc211.geolexica.org/api/concepts#encoding_service,encoding service
https://isotc211.geolexica.org/api/concepts#end_node,end node
https://isotc211.geolexica.org/api/concepts#end_point,end point
https://isotc211.geolexica.org/api/concepts#engineering_datum,engineering datum
https://isotc211.geolexica.org/api/concepts#engineering_viewpoint,engineering viewpoint
https://isotc211.geolexica.org/api/concepts#enterprise_viewpoint,enterprise viewpoint
https://isotc211.geolexica.org/api/concepts#evaluation_coverage,evaluation (coverage)
https://isotc211.geolexica.org/api/concepts#event,event
https://isotc211.geolexica.org/api/concepts#executable_test_case,executable test case
https://isotc211.geolexica.org/api/concepts#executable_test_suite,executable test suite
https://isotc211.geolexica.org/api/concepts#exterior,exterior
https://isotc211.geolexica.org/api/concepts#external_function,external function
https://isotc211.geolexica.org/api/concepts#face,face
https://isotc211.geolexica.org/api/concepts#fail_verdict,fail verdict
https://isotc211.geolexica.org/api/concepts#falsification_test,falsification test
https://isotc211.geolexica.org/api/concepts#feature,feature
https://isotc211.geolexica.org/api/concepts#feature_association,feature association
https://isotc211.geolexica.org/api/concepts#feature_attribute,feature attribute
https://isotc211.geolexica.org/api/concepts#feature_division,feature division
https://isotc211.geolexica.org/api/concepts#feature_fusion,feature fusion
https://isotc211.geolexica.org/api/concepts#feature_operation,feature operation
https://isotc211.geolexica.org/api/concepts#feature_portrayal_rule_set,feature portrayal rule set
https://isotc211.geolexica.org/api/concepts#feature_substitution,feature substitution
https://isotc211.geolexica.org/api/concepts#feature_succession,feature succession
https://isotc211.geolexica.org/api/concepts#feature_table,feature table
https://isotc211.geolexica.org/api/concepts#file,file
https://isotc211.geolexica.org/api/concepts#flattening,flattening
https://isotc211.geolexica.org/api/concepts#framework,framework
https://isotc211.geolexica.org/api/concepts#full_inspection,full inspection
https://isotc211.geolexica.org/api/concepts#function,function
https://isotc211.geolexica.org/api/concepts#functional_language,functional language
https://isotc211.geolexica.org/api/concepts#functional_standard,functional standard
https://isotc211.geolexica.org/api/concepts#gazetteer,gazetteer
https://isotc211.geolexica.org/api/concepts#geocoding,geocoding
https://isotc211.geolexica.org/api/concepts#geodetic_coord_system,geodetic coordinate system
https://isotc211.geolexica.org/api/concepts#geodetic_height,geodetic height
https://isotc211.geolexica.org/api/concepts#geodetic_latitude,geodetic latitude
https://isotc211.geolexica.org/api/concepts#geodetic_longitude,geodetic longitude
https://isotc211.geolexica.org/api/concepts#geographic_data,geographic data
https://isotc211.geolexica.org/api/concepts#geographic_feature,geographic feature
https://isotc211.geolexica.org/api/concepts#geographic_identifier,geographic identifier
https://isotc211.geolexica.org/api/concepts#geographic_info_service,geographic information service
https://isotc211.geolexica.org/api/concepts#geographic_info_system,geographic information system
https://isotc211.geolexica.org/api/concepts#geographic_information,geographic information
https://isotc211.geolexica.org/api/concepts#geometric_aggregate,geometric aggregate
https://isotc211.geolexica.org/api/concepts#geometric_boundary,geometric boundary
https://isotc211.geolexica.org/api/concepts#geometric_complex,geometric complex
https://isotc211.geolexica.org/api/concepts#geometric_dimension,geometric dimension
https://isotc211.geolexica.org/api/concepts#geometric_object,geometric object
https://isotc211.geolexica.org/api/concepts#geometric_primitive,geometric primitive
https://isotc211.geolexica.org/api/concepts#geometric_realization,geometric realization
https://isotc211.geolexica.org/api/concepts#geometric_set,geometric set
https://isotc211.geolexica.org/api/concepts#geometry_property,geometry property
https://isotc211.geolexica.org/api/concepts#gravity_related_height,gravity-related height
https://isotc211.geolexica.org/api/concepts#grid,grid
https://isotc211.geolexica.org/api/concepts#grid_coordinates,grid coordinates
https://isotc211.geolexica.org/api/concepts#grid_point,grid point
https://isotc211.geolexica.org/api/concepts#gridded_data,gridded data
https://isotc211.geolexica.org/api/concepts#homomorphism,homomorphism
https://isotc211.geolexica.org/api/concepts#image_point,image point
https://isotc211.geolexica.org/api/concepts#implementation,implementation
https://isotc211.geolexica.org/api/concepts#inconclusive_verdict,inconclusive verdict
https://isotc211.geolexica.org/api/concepts#indirect_eval_method,indirect evaluation method
https://isotc211.geolexica.org/api/concepts#inert_position_system,inertial positioning system
https://isotc211.geolexica.org/api/concepts#information,information
https://isotc211.geolexica.org/api/concepts#information_viewpoint,information viewpoint
https://isotc211.geolexica.org/api/concepts#inheritance,inheritance (UML)
https://isotc211.geolexica.org/api/concepts#instance,instance
https://isotc211.geolexica.org/api/concepts#instance_model,instance model
https://isotc211.geolexica.org/api/concepts#instant,instant
https://isotc211.geolexica.org/api/concepts#instantiate,instantiate
https://isotc211.geolexica.org/api/concepts#integrated_position_system,integrated positioning system
https://isotc211.geolexica.org/api/concepts#interface,interface
