s,o
https://isotc211.geolexica.org/api/concepts#discrete_spatiotemp_object,discrete spatiotemporal object
https://isotc211.geolexica.org/api/concepts#distance_measure,distance measure
https://isotc211.geolexica.org/api/concepts#distance_metric,distance metric
https://isotc211.geolexica.org/api/concepts#identity,identity
https://isotc211.geolexica.org/api/concepts#integration,integration
https://isotc211.geolexica.org/api/concepts#interoperate,interoperate
https://isotc211.geolexica.org/api/concepts#license,license
https://isotc211.geolexica.org/api/concepts#loosely_coupled_interface,loosely coupled interface
https://isotc211.geolexica.org/api/concepts#passive_object,passive object
https://isotc211.geolexica.org/api/concepts#passive_tracking,passive tracking
https://isotc211.geolexica.org/api/concepts#resourceICT,resource (ICT)
https://isotc211.geolexica.org/api/concepts#right,right
https://isotc211.geolexica.org/api/concepts#rights_management,rights management
https://isotc211.geolexica.org/api/concepts#service_broker,service broker
https://isotc211.geolexica.org/api/concepts#service_oriented_architecture,service oriented architecture
https://isotc211.geolexica.org/api/concepts#spacestamp,spacestamp
https://isotc211.geolexica.org/api/concepts#state_of_object,state (of an object)
https://isotc211.geolexica.org/api/concepts#target,target
https://isotc211.geolexica.org/api/concepts#temporal_sequence,temporal sequence
https://isotc211.geolexica.org/api/concepts#timestamp,timestamp
https://isotc211.geolexica.org/api/concepts#tracking_device,tracking device
https://isotc211.geolexica.org/api/concepts#user,user
https://isotc211.geolexica.org/api/concepts#child_element_XML,child element (XML);
https://isotc211.geolexica.org/api/concepts#observable_type,observable type
https://isotc211.geolexica.org/api/concepts#polygon,polygon
https://isotc211.geolexica.org/api/concepts#range,range
https://isotc211.geolexica.org/api/concepts#schema_document_XML_Schema,schema document (XML Schema)
https://isotc211.geolexica.org/api/concepts#schema_XML_Schema,schema (XML Schema)
https://isotc211.geolexica.org/api/concepts#UML_application_schema,UML application schema
https://isotc211.geolexica.org/api/concepts#compound_coord_ref_system,compound coordinate reference system
https://isotc211.geolexica.org/api/concepts#coord_ref_system,coordinate reference system
https://isotc211.geolexica.org/api/concepts#datum,datum
https://isotc211.geolexica.org/api/concepts#engin_coord_ref_system,engineering coordinate reference system
https://isotc211.geolexica.org/api/concepts#geodetic_coord_ref_system,geodetic coordinate reference system
https://isotc211.geolexica.org/api/concepts#geodetic_datum,geodetic datum
https://isotc211.geolexica.org/api/concepts#image_coord_ref_system,image coordinate reference system
https://isotc211.geolexica.org/api/concepts#image_datum,image datum
https://isotc211.geolexica.org/api/concepts#meridian,meridian
https://isotc211.geolexica.org/api/concepts#spherical_coord_system,spherical coordinate system
https://isotc211.geolexica.org/api/concepts#vertical_coord_ref_system,vertical coordinate reference system
https://isotc211.geolexica.org/api/concepts#vertical_coord_system,vertical coordinate system
https://isotc211.geolexica.org/api/concepts#base_rep_moving_features,base representation (moving features)
https://isotc211.geolexica.org/api/concepts#sensor_model,sensor model
https://isotc211.geolexica.org/api/concepts#componentUML,component (UML)
https://isotc211.geolexica.org/api/concepts#compositionUML,composition (UML)
https://isotc211.geolexica.org/api/concepts#generalizationUML,generalization (UML)
https://isotc211.geolexica.org/api/concepts#instanceUML,instance (UML)
https://isotc211.geolexica.org/api/concepts#typeUML,type (UML)
https://isotc211.geolexica.org/api/concepts#coordinate_set,coordinate set
https://isotc211.geolexica.org/api/concepts#constraint,constraint
https://isotc211.geolexica.org/api/concepts#coordinate_tuple,coordinate tuple
https://isotc211.geolexica.org/api/concepts#correctness,correctness
https://isotc211.geolexica.org/api/concepts#error,error
https://isotc211.geolexica.org/api/concepts#navigation_constraint,navigation constraint
https://isotc211.geolexica.org/api/concepts#traveller,traveller
https://isotc211.geolexica.org/api/concepts#vehicle,vehicle
https://isotc211.geolexica.org/api/concepts#version_temporal,version (temporal)
https://isotc211.geolexica.org/api/concepts#design_coord_ref_system,design coordinate reference system
https://isotc211.geolexica.org/api/concepts#graphical_language,graphical language
https://isotc211.geolexica.org/api/concepts#graph,graph
https://isotc211.geolexica.org/api/concepts#geometry_value_object,geometry value object
https://isotc211.geolexica.org/api/concepts#geometry_value_pair,geometry value pair
https://isotc211.geolexica.org/api/concepts#coordinate_conversion,coordinate conversion
https://isotc211.geolexica.org/api/concepts#coordinate_transformation,coordinate transformation
https://isotc211.geolexica.org/api/concepts#geoid,geoid
https://isotc211.geolexica.org/api/concepts#projected_coord_ref_system,projected coordinate reference system
https://isotc211.geolexica.org/api/concepts#feature_reference,feature reference
https://isotc211.geolexica.org/api/concepts#traversalXML,traversal (XML)
https://isotc211.geolexica.org/api/concepts#digital_elevation_model,digital elevation model
https://isotc211.geolexica.org/api/concepts#digital_number,digital number
https://isotc211.geolexica.org/api/concepts#geographic_imagery,geographic imagery
https://isotc211.geolexica.org/api/concepts#geographic_imagery_scene,geographic imagery scene
https://isotc211.geolexica.org/api/concepts#metric_traceability,metric traceability
https://isotc211.geolexica.org/api/concepts#orthoimage,orthoimage
https://isotc211.geolexica.org/api/concepts#transfer_unit,transfer unit
https://isotc211.geolexica.org/api/concepts#identifier,identifier
https://isotc211.geolexica.org/api/concepts#predicate,predicate
https://isotc211.geolexica.org/api/concepts#predicate_expression,predicate expression
https://isotc211.geolexica.org/api/concepts#property,property
https://isotc211.geolexica.org/api/concepts#classification_system,classification system
https://isotc211.geolexica.org/api/concepts#legend,legend
https://isotc211.geolexica.org/api/concepts#a_posteriori_classification,a posteriori classification
https://isotc211.geolexica.org/api/concepts#a_priori_classification,a priori classification
https://isotc211.geolexica.org/api/concepts#land_cover,land cover
https://isotc211.geolexica.org/api/concepts#GML_document,GML document
https://isotc211.geolexica.org/api/concepts#GML_profile,GML profile
https://isotc211.geolexica.org/api/concepts#GML_schema,GML schema
https://isotc211.geolexica.org/api/concepts#platform,platform
https://isotc211.geolexica.org/api/concepts#polarization,polarization
https://isotc211.geolexica.org/api/concepts#spectral_resolution,spectral resolution
https://isotc211.geolexica.org/api/concepts#namespace,namespace
https://isotc211.geolexica.org/api/concepts#realization,realization
https://isotc211.geolexica.org/api/concepts#polymorphism,polymorphism
https://isotc211.geolexica.org/api/concepts#parametric_coord_system,parametric coordinate system
https://isotc211.geolexica.org/api/concepts#parametric_coord_ref_system,parametric coordinate reference system
https://isotc211.geolexica.org/api/concepts#parametric_datum,parametric datum
https://isotc211.geolexica.org/api/concepts#spatio_param_coord_system,spatio-parametric coordinate system
https://isotc211.geolexica.org/api/concepts#spatio_param_temp_coord_system,spatio-parametric-temporal coordinate system
https://isotc211.geolexica.org/api/concepts#band,band
https://isotc211.geolexica.org/api/concepts#calibration,calibration
https://isotc211.geolexica.org/api/concepts#classification,classification
https://isotc211.geolexica.org/api/concepts#classified_object,classified object
https://isotc211.geolexica.org/api/concepts#classifier,classifier
https://isotc211.geolexica.org/api/concepts#compound_registry,compound registry
https://isotc211.geolexica.org/api/concepts#feature_association_concept,feature association concept
https://isotc211.geolexica.org/api/concepts#feature_attribute_concept,feature attribute concept
https://isotc211.geolexica.org/api/concepts#feature_catalogue,feature catalogue
https://isotc211.geolexica.org/api/concepts#feature_concept,feature concept
https://isotc211.geolexica.org/api/concepts#feature_concept_dictionary,feature concept dictionary
https://isotc211.geolexica.org/api/concepts#feature_operation_concept,feature operation concept
https://isotc211.geolexica.org/api/concepts#hierarchical_register,hierarchical register
https://isotc211.geolexica.org/api/concepts#imagery,imagery
https://isotc211.geolexica.org/api/concepts#legend_class,legend class
https://isotc211.geolexica.org/api/concepts#measurable_quantity,measurable quantity
https://isotc211.geolexica.org/api/concepts#nominal_value,nominal value
https://isotc211.geolexica.org/api/concepts#pass,pass
https://isotc211.geolexica.org/api/concepts#picture_original,picture original
https://isotc211.geolexica.org/api/concepts#picture_portrayal,picture portrayal
https://isotc211.geolexica.org/api/concepts#policy,policy
https://isotc211.geolexica.org/api/concepts#radiance,radiance
https://isotc211.geolexica.org/api/concepts#validation,validation
https://isotc211.geolexica.org/api/concepts#assoc_concept_system,associative concept system
https://isotc211.geolexica.org/api/concepts#broader_concept,broader concept
https://isotc211.geolexica.org/api/concepts#characteristic,characteristic
https://isotc211.geolexica.org/api/concepts#delimiting_characteristic,delimiting characteristic
https://isotc211.geolexica.org/api/concepts#domain_general_vocab,domain (general vocabulary)
https://isotc211.geolexica.org/api/concepts#domain_concept,domain concept
https://isotc211.geolexica.org/api/concepts#essential_characteristic,essential characteristic
https://isotc211.geolexica.org/api/concepts#general_concept,general concept
https://isotc211.geolexica.org/api/concepts#generic_concept,generic concept
https://isotc211.geolexica.org/api/concepts#generic_concept_system,generic concept system
https://isotc211.geolexica.org/api/concepts#generic_relation,generic relation
https://isotc211.geolexica.org/api/concepts#genus_species_relation,genus-species relation
https://isotc211.geolexica.org/api/concepts#homonymy,homonymy
https://isotc211.geolexica.org/api/concepts#intension,intension
https://isotc211.geolexica.org/api/concepts#monosemy,monosemy
https://isotc211.geolexica.org/api/concepts#narrower_concept,narrower concept
https://isotc211.geolexica.org/api/concepts#partitive_relation,partitive relation
https://isotc211.geolexica.org/api/concepts#part_whole_relation,part-whole relation
https://isotc211.geolexica.org/api/concepts#polysemy,polysemy
https://isotc211.geolexica.org/api/concepts#superordinate_concept,superordinate concept
https://isotc211.geolexica.org/api/concepts#subordinate_concept,subordinate concept
https://isotc211.geolexica.org/api/concepts#synonymy,synonymy
https://isotc211.geolexica.org/api/concepts#system_concepts,system of concepts
https://isotc211.geolexica.org/api/concepts#technical_dictionary,technical dictionary
https://isotc211.geolexica.org/api/concepts#terminological_data,terminological data
https://isotc211.geolexica.org/api/concepts#terminological_dictionary,terminological data
https://isotc211.geolexica.org/api/concepts#terminological_entry,terminological entry
https://isotc211.geolexica.org/api/concepts#vocabulary,vocabulary
https://isotc211.geolexica.org/api/concepts#resolution_coordinate,resolution (coordinate)
https://isotc211.geolexica.org/api/concepts#sexagesimal_degree,sexagesimal degree
https://isotc211.geolexica.org/api/concepts#sexagesimal_degree,GML application schema
https://isotc211.geolexica.org/api/concepts#concept_harmonization,concept harmonization
https://isotc211.geolexica.org/api/concepts#designation,designation
https://isotc211.geolexica.org/api/concepts#designator,designator
https://isotc211.geolexica.org/api/concepts#extension,extension
https://isotc211.geolexica.org/api/concepts#language,language
https://isotc211.geolexica.org/api/concepts#term_record_identifier,terminological record identifier
https://isotc211.geolexica.org/api/concepts#terminology_repository,terminology repository
https://isotc211.geolexica.org/api/concepts#feature_inheritance,feature inheritance
https://isotc211.geolexica.org/api/concepts#feature_relationship,feature relationship
https://isotc211.geolexica.org/api/concepts#data_compaction,data compaction
https://isotc211.geolexica.org/api/concepts#matrix,matrix
https://isotc211.geolexica.org/api/concepts#UML_template,UML template
https://isotc211.geolexica.org/api/concepts#adjustable_model_parameters,adjustable model parameters
https://isotc211.geolexica.org/api/concepts#aperture_reference_point,aperture reference point
https://isotc211.geolexica.org/api/concepts#azimuth_resolution_SAR,azimuth resolution (SAR)
https://isotc211.geolexica.org/api/concepts#beam_width_SAR,beam width (SAR)
https://isotc211.geolexica.org/api/concepts#calibrated_focal_length,calibrated focal length
https://isotc211.geolexica.org/api/concepts#Correspondence_Model,Correspondence Model
https://isotc211.geolexica.org/api/concepts#cross_track,cross-track
https://isotc211.geolexica.org/api/concepts#fiducial_centre,fiducial centre
https://isotc211.geolexica.org/api/concepts#frame_sensor,frame sensor
https://isotc211.geolexica.org/api/concepts#geolocation_information,geolocation information
https://isotc211.geolexica.org/api/concepts#georeferencing,georeferencing
https://isotc211.geolexica.org/api/concepts#grazing_angle_SAR,grazing angle (SAR)
https://isotc211.geolexica.org/api/concepts#ground_range_SAR,ground range (SAR)
https://isotc211.geolexica.org/api/concepts#image_formation_SAR,image formation (SAR)
https://isotc211.geolexica.org/api/concepts#image_id_grnd_ctrl_point,image-identifiable ground control point
https://isotc211.geolexica.org/api/concepts#image_plane,image plane
https://isotc211.geolexica.org/api/concepts#incident_angle,incident angle
https://isotc211.geolexica.org/api/concepts#layover,layover
https://isotc211.geolexica.org/api/concepts#perspective_centre,perspective centre
https://isotc211.geolexica.org/api/concepts#Physical_Sensor_Model,Physical Sensor Model
https://isotc211.geolexica.org/api/concepts#pushbroom_sensor,pushbroom sensor
https://isotc211.geolexica.org/api/concepts#range_bin_SAR,range bin (SAR)
https://isotc211.geolexica.org/api/concepts#scan_mode,scan mode
https://isotc211.geolexica.org/api/concepts#slant_plane_SAR,slant plane (SAR)
https://isotc211.geolexica.org/api/concepts#slant_range_direction_SAR,slant range direction (SAR)
https://isotc211.geolexica.org/api/concepts#spotlight_mode_SAR,spotlight mode (SAR)
https://isotc211.geolexica.org/api/concepts#squint_angle_SAR,squint angle (SAR)
https://isotc211.geolexica.org/api/concepts#True_Replacement_Model,True Replacement Model
https://isotc211.geolexica.org/api/concepts#georectified,georectified
https://isotc211.geolexica.org/api/concepts#ground_control_point,ground control point
https://isotc211.geolexica.org/api/concepts#active_sensing_system,active sensing system
https://isotc211.geolexica.org/api/concepts#along_track,along-track
https://isotc211.geolexica.org/api/concepts#broadside_SAR,broadside (SAR)
https://isotc211.geolexica.org/api/concepts#Doppler_angle_SAR,Doppler angle (SAR)
https://isotc211.geolexica.org/api/concepts#Doppler_shift,Doppler shift
https://isotc211.geolexica.org/api/concepts#fiducial_mark,fiducial mark
https://isotc211.geolexica.org/api/concepts#geolocating,geolocating
https://isotc211.geolexica.org/api/concepts#geopositioning,geopositioning
https://isotc211.geolexica.org/api/concepts#ground_ref_point,ground reference point
https://isotc211.geolexica.org/api/concepts#ground_sampling_distance,ground sampling distance
https://isotc211.geolexica.org/api/concepts#image_distortion,image distortion
https://isotc211.geolexica.org/api/concepts#impulse_response,impulse response
https://isotc211.geolexica.org/api/concepts#internal_coord_ref_system,internal coordinate reference system
https://isotc211.geolexica.org/api/concepts#passive_sensor,passive sensor
https://isotc211.geolexica.org/api/concepts#platform_coord_ref_system,platform coordinate reference system
https://isotc211.geolexica.org/api/concepts#principal_point_autocol,principal point of autocollimation
https://isotc211.geolexica.org/api/concepts#projection_centre,projection centre
https://isotc211.geolexica.org/api/concepts#range_direction_SAR,range direction (SAR)
https://isotc211.geolexica.org/api/concepts#range_resolution,range resolution
https://isotc211.geolexica.org/api/concepts#range_vector,range vector
https://isotc211.geolexica.org/api/concepts#ScanSAR_mode,ScanSAR mode
https://isotc211.geolexica.org/api/concepts#sensor_model_geopositioning,sensor model (geopositioning)
https://isotc211.geolexica.org/api/concepts#feature_identifier,feature identifier
https://isotc211.geolexica.org/api/concepts#filter_capabilities_XML,filter capabilities XML
https://isotc211.geolexica.org/api/concepts#filter_expression,filter expression
https://isotc211.geolexica.org/api/concepts#filter_expression_processor,filter expression processor
https://isotc211.geolexica.org/api/concepts#identification_convention,identification convention
https://isotc211.geolexica.org/api/concepts#land_use,land use
https://isotc211.geolexica.org/api/concepts#literal_value,literal value
https://isotc211.geolexica.org/api/concepts#relocate_reference,relocate (reference)
https://isotc211.geolexica.org/api/concepts#response_model,response model
https://isotc211.geolexica.org/api/concepts#domain_feature,domain feature
https://isotc211.geolexica.org/api/concepts#grid_coord_system,grid coordinate system
https://isotc211.geolexica.org/api/concepts#linear_element,linear element
https://isotc211.geolexica.org/api/concepts#Linear_Referencing_System,Linear Referencing System
https://isotc211.geolexica.org/api/concepts#linearly_located,linearly located
https://isotc211.geolexica.org/api/concepts#product,product
https://isotc211.geolexica.org/api/concepts#sensor,sensor
https://isotc211.geolexica.org/api/concepts#sub_process,sub-process
https://isotc211.geolexica.org/api/concepts#template_UML,template (UML)
https://isotc211.geolexica.org/api/concepts#data_compression,data compression
https://isotc211.geolexica.org/api/concepts#detector,detector
https://isotc211.geolexica.org/api/concepts#external_coord_ref_system,external coordinate reference system
https://isotc211.geolexica.org/api/concepts#gimbal,gimbal
https://isotc211.geolexica.org/api/concepts#gyroscope,gyroscope
https://isotc211.geolexica.org/api/concepts#Synthetic_Aperture_Radar,Synthetic Aperture Radar
https://isotc211.geolexica.org/api/concepts#stripmap_mode_SAR,stripmap mode (SAR)
https://isotc211.geolexica.org/api/concepts#whiskbroom_sensor,whiskbroom sensor
https://isotc211.geolexica.org/api/concepts#association_UML,association (UML)
https://isotc211.geolexica.org/api/concepts#component_UML,component (UML)
https://isotc211.geolexica.org/api/concepts#composition_UML,composition (UML)
https://isotc211.geolexica.org/api/concepts#constraint_UML,constraint (UML)
https://isotc211.geolexica.org/api/concepts#dependency_UML,dependency (UML)
https://isotc211.geolexica.org/api/concepts#profile_UML,profile (UML)
https://isotc211.geolexica.org/api/concepts#realization_UML,realization (UML)
https://isotc211.geolexica.org/api/concepts#stereotype_UML,stereotype (UML)
https://isotc211.geolexica.org/api/concepts#tagged_value_UML,tagged value (UML)
https://isotc211.geolexica.org/api/concepts#compression,compression
https://isotc211.geolexica.org/api/concepts#compression_service,compression service
https://isotc211.geolexica.org/api/concepts#conversion,conversion
https://isotc211.geolexica.org/api/concepts#conversion_service,conversion service
https://isotc211.geolexica.org/api/concepts#dynamic_conversion,dynamic conversion
https://isotc211.geolexica.org/api/concepts#format,format
https://isotc211.geolexica.org/api/concepts#geographic_point_location,geographic point location
https://isotc211.geolexica.org/api/concepts#geo_point_location_represent,geographic point location representation
https://isotc211.geolexica.org/api/concepts#static_conversion,static conversion
https://isotc211.geolexica.org/api/concepts#attribute_event,attribute event
https://isotc211.geolexica.org/api/concepts#attributed_event,attributed feature
https://isotc211.geolexica.org/api/concepts#feature_event,feature event
https://isotc211.geolexica.org/api/concepts#linear_referencing,linear referencing
https://isotc211.geolexica.org/api/concepts#linear_segment,linear segment
https://isotc211.geolexica.org/api/concepts#linearly_located_event,linearly located event
https://isotc211.geolexica.org/api/concepts#linearly_referenced_location,linearly referenced location
https://isotc211.geolexica.org/api/concepts#located_feature,located feature
https://isotc211.geolexica.org/api/concepts#locating_feature,locating feature
https://isotc211.geolexica.org/api/concepts#spatial_position,spatial position
https://isotc211.geolexica.org/api/concepts#responsibility,responsibility
https://isotc211.geolexica.org/api/concepts#access_control,access control
https://isotc211.geolexica.org/api/concepts#agency,agency
https://isotc211.geolexica.org/api/concepts#agent,agent
https://isotc211.geolexica.org/api/concepts#authentication,authentication
https://isotc211.geolexica.org/api/concepts#authorization,authorization
https://isotc211.geolexica.org/api/concepts#bypass,bypass
https://isotc211.geolexica.org/api/concepts#chain_agency,chain of agency
https://isotc211.geolexica.org/api/concepts#chain_licence,chain of licence
https://isotc211.geolexica.org/api/concepts#contract,contract
https://isotc211.geolexica.org/api/concepts#copyleft,copyleft
https://isotc211.geolexica.org/api/concepts#digital_licence,digital licence
https://isotc211.geolexica.org/api/concepts#digital_rights_management,digital rights management
https://isotc211.geolexica.org/api/concepts#expected_risk,expected risk
https://isotc211.geolexica.org/api/concepts#fair_use,fair use
https://isotc211.geolexica.org/api/concepts#general_public_licence,general public licence
https://isotc211.geolexica.org/api/concepts#GeoDRM_enabled,GeoDRM enabled
https://isotc211.geolexica.org/api/concepts#GeoDRM_extended,GeoDRM extended (applied to resources)
https://isotc211.geolexica.org/api/concepts#GeoLicence,GeoLicence
https://isotc211.geolexica.org/api/concepts#GeoLicence_resolution,GeoLicence resolution
https://isotc211.geolexica.org/api/concepts#GeoLicence_infringement,GeoLicence infringement
https://isotc211.geolexica.org/api/concepts#infringement_licence,infringement (of a licence)
https://isotc211.geolexica.org/api/concepts#infringement_right,infringement (of a right)
https://isotc211.geolexica.org/api/concepts#joint_ownership,joint ownership
https://isotc211.geolexica.org/api/concepts#lease,lease
https://isotc211.geolexica.org/api/concepts#lend,lend
https://isotc211.geolexica.org/api/concepts#licence,licence
https://isotc211.geolexica.org/api/concepts#licence_extents,licence extents
https://isotc211.geolexica.org/api/concepts#licence_manager,licence manager
https://isotc211.geolexica.org/api/concepts#licensee,licensee
https://isotc211.geolexica.org/api/concepts#licensing_agent,licensing agent
https://isotc211.geolexica.org/api/concepts#licensor,licensor
https://isotc211.geolexica.org/api/concepts#necessary,necessary
https://isotc211.geolexica.org/api/concepts#owner,owner
https://isotc211.geolexica.org/api/concepts#party,party
https://isotc211.geolexica.org/api/concepts#payment_provider,payment provider
https://isotc211.geolexica.org/api/concepts#persistent_protection_mechanism,persistent protection mechanism
https://isotc211.geolexica.org/api/concepts#principal,principal
https://isotc211.geolexica.org/api/concepts#protection,protection
https://isotc211.geolexica.org/api/concepts#provenance,provenance
https://isotc211.geolexica.org/api/concepts#resource_GeoDRM,resource (GeoDRM)
https://isotc211.geolexica.org/api/concepts#remediation,remediation
https://isotc211.geolexica.org/api/concepts#right_GeoDRM,right (GeoDRM)
https://isotc211.geolexica.org/api/concepts#rights_holder,rights holder
https://isotc211.geolexica.org/api/concepts#rights_management_GeoDRM,rights management (GeoDRM)
https://isotc211.geolexica.org/api/concepts#risk,risk
https://isotc211.geolexica.org/api/concepts#sublicence,sublicence
https://isotc211.geolexica.org/api/concepts#sublicensee,sublicensee
https://isotc211.geolexica.org/api/concepts#sufficient,sufficient
https://isotc211.geolexica.org/api/concepts#transaction,transaction
https://isotc211.geolexica.org/api/concepts#trust,trust
https://isotc211.geolexica.org/api/concepts#cond_feature_portrayal_func,conditional feature portrayal function
https://isotc211.geolexica.org/api/concepts#feature_portrayal_func,feature portrayal function
https://isotc211.geolexica.org/api/concepts#portrayal_func,portrayal function
https://isotc211.geolexica.org/api/concepts#simple_symbol,simple symbol
https://isotc211.geolexica.org/api/concepts#symbol,symbol
https://isotc211.geolexica.org/api/concepts#symbol_component,symbol component
https://isotc211.geolexica.org/api/concepts#symbol_definition,symbol definition
https://isotc211.geolexica.org/api/concepts#symbol_reference,symbol reference
https://isotc211.geolexica.org/api/concepts#error_propagation,error propagation
https://isotc211.geolexica.org/api/concepts#cross_mapping,cross-mapping
https://isotc211.geolexica.org/api/concepts#place,place
https://isotc211.geolexica.org/api/concepts#administrative_source,administrative source
https://isotc211.geolexica.org/api/concepts#boundary_face_string,boundary face string
https://isotc211.geolexica.org/api/concepts#building_unit,building unit
https://isotc211.geolexica.org/api/concepts#catalogue,catalogue
https://isotc211.geolexica.org/api/concepts#converter,converter
https://isotc211.geolexica.org/api/concepts#feature_type,feature type
https://isotc211.geolexica.org/api/concepts#join_predicate,join predicate
https://isotc211.geolexica.org/api/concepts#land_administration,land administration
https://isotc211.geolexica.org/api/concepts#land_cover_metalanguage,land cover metalanguage
https://isotc211.geolexica.org/api/concepts#liminal_spatial_unit,liminal spatial unit
https://isotc211.geolexica.org/api/concepts#metaquality,metaquality
https://isotc211.geolexica.org/api/concepts#observation_procedure,observation procedure
https://isotc211.geolexica.org/api/concepts#observation_protocol,observation protocol
https://isotc211.geolexica.org/api/concepts#observation_result,observation result
https://isotc211.geolexica.org/api/concepts#party_member,party member
https://isotc211.geolexica.org/api/concepts#property_type,property type
https://isotc211.geolexica.org/api/concepts#spatial_source,spatial source
https://isotc211.geolexica.org/api/concepts#spatial_unit_group,spatial unit group
https://isotc211.geolexica.org/api/concepts#param_feature_portrayal_function,parameterized feature portrayal function
https://isotc211.geolexica.org/api/concepts#parameterized_symbol,parameterized symbol
https://isotc211.geolexica.org/api/concepts#portrayal_context,portrayal context
https://isotc211.geolexica.org/api/concepts#portrayal_function_set,portrayal function set
https://isotc211.geolexica.org/api/concepts#render,render
https://isotc211.geolexica.org/api/concepts#symbol_set,symbol set
https://isotc211.geolexica.org/api/concepts#customer,customer
https://isotc211.geolexica.org/api/concepts#process,process
https://isotc211.geolexica.org/api/concepts#supplier,supplier
https://isotc211.geolexica.org/api/concepts#join_tuple,join tuple
https://isotc211.geolexica.org/api/concepts#local_resource,local resource
https://isotc211.geolexica.org/api/concepts#locator_attribute,locator attribute
https://isotc211.geolexica.org/api/concepts#MIME_type,Multipurpose Internet Mail Extensions (MIME) type
https://isotc211.geolexica.org/api/concepts#Place_Identifier,Place Identifier
https://isotc211.geolexica.org/api/concepts#Place_Identifier_application,Place Identifier application
https://isotc211.geolexica.org/api/concepts#Place_Identifier_matching,Place Identifier matching
https://isotc211.geolexica.org/api/concepts#Place_Identifier_platform,Place Identifier platform
https://isotc211.geolexica.org/api/concepts#remote_resource,remote resource
https://isotc211.geolexica.org/api/concepts#resolve,resolve
https://isotc211.geolexica.org/api/concepts#information_system,information system
https://isotc211.geolexica.org/api/concepts#ontology,ontology
https://isotc211.geolexica.org/api/concepts#Semantic_Web,Semantic Web
https://isotc211.geolexica.org/api/concepts#boundary_face,boundary face
https://isotc211.geolexica.org/api/concepts#land,land
https://isotc211.geolexica.org/api/concepts#required_relationship,required relationship
https://isotc211.geolexica.org/api/concepts#spatial_unit,spatial unit
https://isotc211.geolexica.org/api/concepts#Linear_Referencing_Method,Linear Referencing Method
https://isotc211.geolexica.org/api/concepts#standalone_quality_report,standalone quality report
https://isotc211.geolexica.org/api/concepts#quality_assurance,quality assurance
https://isotc211.geolexica.org/api/concepts#quality_control,quality control
https://isotc211.geolexica.org/api/concepts#grid_coord_ref_system,grid coordinate reference system
https://isotc211.geolexica.org/api/concepts#document_XML,document (XML)
https://isotc211.geolexica.org/api/concepts#active_sensor,active sensor
https://isotc211.geolexica.org/api/concepts#active_sonar,active sonar
https://isotc211.geolexica.org/api/concepts#area_recording,area recording
https://isotc211.geolexica.org/api/concepts#complex_image,complex image
https://isotc211.geolexica.org/api/concepts#depression_angle,depression angle
https://isotc211.geolexica.org/api/concepts#draught,draught
https://isotc211.geolexica.org/api/concepts#field_of_view,field of view
https://isotc211.geolexica.org/api/concepts#first_return,first return
https://isotc211.geolexica.org/api/concepts#frame_LIDAR,frame (LIDAR)
https://isotc211.geolexica.org/api/concepts#geiger_mode,geiger mode
https://isotc211.geolexica.org/api/concepts#hydrophone_SONAR,hydrophone (SONAR)
https://isotc211.geolexica.org/api/concepts#heave,heave
https://isotc211.geolexica.org/api/concepts#hydrographic_swath_SONAR,hydrographic swath (SONAR)
https://isotc211.geolexica.org/api/concepts#image_coordinates,image coordinates
https://isotc211.geolexica.org/api/concepts#instantaneous_field_view,instantaneous field of view
https://isotc211.geolexica.org/api/concepts#intensity,intensity
https://isotc211.geolexica.org/api/concepts#last_return,last return
https://isotc211.geolexica.org/api/concepts#light_detection_ranging,light detection and ranging
https://isotc211.geolexica.org/api/concepts#linear_mode,linear mode
https://isotc211.geolexica.org/api/concepts#look_angle,look angle
https://isotc211.geolexica.org/api/concepts#passive_SONAR,passive SONAR
https://isotc211.geolexica.org/api/concepts#phase_history_data,phase history data
https://isotc211.geolexica.org/api/concepts#platform_down_direction,platform down direction
https://isotc211.geolexica.org/api/concepts#point_cloud,point cloud
https://isotc211.geolexica.org/api/concepts#resolution_imagery,resolution (of imagery)
https://isotc211.geolexica.org/api/concepts#return_LIDAR,return (LIDAR)
https://isotc211.geolexica.org/api/concepts#scan,scan
https://isotc211.geolexica.org/api/concepts#sidescan_SONAR,sidescan SONAR
https://isotc211.geolexica.org/api/concepts#single_beam_SONAR,single beam SONAR
https://isotc211.geolexica.org/api/concepts#SONAR_processing_system,SONAR processing system
https://isotc211.geolexica.org/api/concepts#squat,squat
https://isotc211.geolexica.org/api/concepts#stare,stare
https://isotc211.geolexica.org/api/concepts#swath_LIDAR,swath (LIDAR)
https://isotc211.geolexica.org/api/concepts#sweep_SONAR,sweep SONAR
https://isotc211.geolexica.org/api/concepts#swipe,swipe
https://isotc211.geolexica.org/api/concepts#transducer,transducer
https://isotc211.geolexica.org/api/concepts#transmitter,transmitter
https://isotc211.geolexica.org/api/concepts#topographic_LIDAR,topographic LIDAR
https://isotc211.geolexica.org/api/concepts#velocity_vector_Radar,velocity vector (Radar)
https://isotc211.geolexica.org/api/concepts#video_phase_history_data,video phase history data
https://isotc211.geolexica.org/api/concepts#e_government,e-government
https://isotc211.geolexica.org/api/concepts#feature_instance,feature instance
https://isotc211.geolexica.org/api/concepts#reference_model,reference model
https://isotc211.geolexica.org/api/concepts#Web,Web
https://isotc211.geolexica.org/api/concepts#Web_service,Web service
