dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
331,osgeo-review:Review331,osgeo:ConceptReview,owl:NamedIndividual,,,,,
332,osgeo-review:Review332,osgeo:ConceptReview,owl:NamedIndividual,,,,,
333,osgeo-review:Review333,osgeo:ConceptReview,owl:NamedIndividual,,,,,
334,osgeo-review:Review334,osgeo:ConceptReview,owl:NamedIndividual,,,,,
335,osgeo-review:Review335,osgeo:ConceptReview,owl:NamedIndividual,,,,,
336,osgeo-review:Review336,osgeo:ConceptReview,owl:NamedIndividual,,,,,
337,osgeo-review:Review337,osgeo:ConceptReview,owl:NamedIndividual,,,,,
338,osgeo-review:Review338,osgeo:ConceptReview,owl:NamedIndividual,,,,,
339,osgeo-review:Review339,osgeo:ConceptReview,owl:NamedIndividual,,,,,
340,osgeo-review:Review340,osgeo:ConceptReview,owl:NamedIndividual,,,,,
341,osgeo-review:Review341,osgeo:ConceptReview,owl:NamedIndividual,,,,,
342,osgeo-review:Review342,osgeo:ConceptReview,owl:NamedIndividual,,,,,
343,osgeo-review:Review343,osgeo:ConceptReview,owl:NamedIndividual,,,,,
344,osgeo-review:Review344,osgeo:ConceptReview,owl:NamedIndividual,,,,,
345,osgeo-review:Review345,osgeo:ConceptReview,owl:NamedIndividual,,,,,
346,osgeo-review:Review346,osgeo:ConceptReview,owl:NamedIndividual,,,,,
347,osgeo-review:Review347,osgeo:ConceptReview,owl:NamedIndividual,,,,,
348,osgeo-review:Review348,osgeo:ConceptReview,owl:NamedIndividual,,,,,
349,osgeo-review:Review349,osgeo:ConceptReview,owl:NamedIndividual,,,,,
350,osgeo-review:Review350,osgeo:ConceptReview,owl:NamedIndividual,,,,,
351,osgeo-review:Review351,osgeo:ConceptReview,owl:NamedIndividual,,,,,
352,osgeo-review:Review352,osgeo:ConceptReview,owl:NamedIndividual,,,,,
353,osgeo-review:Review353,osgeo:ConceptReview,owl:NamedIndividual,,,,,
354,osgeo-review:Review354,osgeo:ConceptReview,owl:NamedIndividual,,,,,
355,osgeo-review:Review355,osgeo:ConceptReview,owl:NamedIndividual,,,,,
356,osgeo-review:Review356,osgeo:ConceptReview,owl:NamedIndividual,,,,,
357,osgeo-review:Review357,osgeo:ConceptReview,owl:NamedIndividual,,,,,
358,osgeo-review:Review358,osgeo:ConceptReview,owl:NamedIndividual,,,,,
359,osgeo-review:Review359,osgeo:ConceptReview,owl:NamedIndividual,,,,,
360,osgeo-review:Review360,osgeo:ConceptReview,owl:NamedIndividual,,,,,
361,osgeo-review:Review361,osgeo:ConceptReview,owl:NamedIndividual,,,,,
362,osgeo-review:Review362,osgeo:ConceptReview,owl:NamedIndividual,,,,,
363,osgeo-review:Review363,osgeo:ConceptReview,owl:NamedIndividual,,,,,
364,osgeo-review:Review364,osgeo:ConceptReview,owl:NamedIndividual,,,,,
365,osgeo-review:Review365,osgeo:ConceptReview,owl:NamedIndividual,,,,,
366,osgeo-review:Review366,osgeo:ConceptReview,owl:NamedIndividual,,,,,
367,osgeo-review:Review367,osgeo:ConceptReview,owl:NamedIndividual,,,,,
368,osgeo-review:Review368,osgeo:ConceptReview,owl:NamedIndividual,,,,,
369,osgeo-review:Review369,osgeo:ConceptReview,owl:NamedIndividual,,,,,
370,osgeo-review:Review370,osgeo:ConceptReview,owl:NamedIndividual,,,,,
371,osgeo-review:Review371,osgeo:ConceptReview,owl:NamedIndividual,,,,,
372,osgeo-review:Review372,osgeo:ConceptReview,owl:NamedIndividual,,,,,
373,osgeo-review:Review373,osgeo:ConceptReview,owl:NamedIndividual,,,,,
374,osgeo-review:Review374,osgeo:ConceptReview,owl:NamedIndividual,,,,,
375,osgeo-review:Review375,osgeo:ConceptReview,owl:NamedIndividual,,,,,
376,osgeo-review:Review376,osgeo:ConceptReview,owl:NamedIndividual,,,,,
377,osgeo-review:Review377,osgeo:ConceptReview,owl:NamedIndividual,,,,,
378,osgeo-review:Review378,osgeo:ConceptReview,owl:NamedIndividual,,,,,
379,osgeo-review:Review379,osgeo:ConceptReview,owl:NamedIndividual,,,,,
380,osgeo-review:Review380,osgeo:ConceptReview,owl:NamedIndividual,,,,,
381,osgeo-review:Review381,osgeo:ConceptReview,owl:NamedIndividual,,,,,
382,osgeo-review:Review382,osgeo:ConceptReview,owl:NamedIndividual,,,,,
383,osgeo-review:Review383,osgeo:ConceptReview,owl:NamedIndividual,,,,,
384,osgeo-review:Review384,osgeo:ConceptReview,owl:NamedIndividual,,,,,
385,osgeo-review:Review385,osgeo:ConceptReview,owl:NamedIndividual,,,,,
386,osgeo-review:Review386,osgeo:ConceptReview,owl:NamedIndividual,,,,,
387,osgeo-review:Review387,osgeo:ConceptReview,owl:NamedIndividual,,,,,
388,osgeo-review:Review388,osgeo:ConceptReview,owl:NamedIndividual,,,,,
389,osgeo-review:Review389,osgeo:ConceptReview,owl:NamedIndividual,,,,,
390,osgeo-review:Review390,osgeo:ConceptReview,owl:NamedIndividual,,,,,
391,osgeo-review:Review391,osgeo:ConceptReview,owl:NamedIndividual,,,,,
392,osgeo-review:Review392,osgeo:ConceptReview,owl:NamedIndividual,,,,,
393,osgeo-review:Review393,osgeo:ConceptReview,owl:NamedIndividual,,,,,
394,osgeo-review:Review394,osgeo:ConceptReview,owl:NamedIndividual,,,,,
395,osgeo-review:Review395,osgeo:ConceptReview,owl:NamedIndividual,,,,,
396,osgeo-review:Review396,osgeo:ConceptReview,owl:NamedIndividual,,,,,
397,osgeo-review:Review397,osgeo:ConceptReview,owl:NamedIndividual,,,,,
398,osgeo-review:Review398,osgeo:ConceptReview,owl:NamedIndividual,,,,,
399,osgeo-review:Review399,osgeo:ConceptReview,owl:NamedIndividual,,,,,
400,osgeo-review:Review400,osgeo:ConceptReview,owl:NamedIndividual,,,,,
401,osgeo-review:Review401,osgeo:ConceptReview,owl:NamedIndividual,,,,,
402,osgeo-review:Review402,osgeo:ConceptReview,owl:NamedIndividual,,,,,
403,osgeo-review:Review403,osgeo:ConceptReview,owl:NamedIndividual,,,,,
404,osgeo-review:Review404,osgeo:ConceptReview,owl:NamedIndividual,,,,,
405,osgeo-review:Review405,osgeo:ConceptReview,owl:NamedIndividual,,,,,
406,osgeo-review:Review406,osgeo:ConceptReview,owl:NamedIndividual,,,,,
407,osgeo-review:Review407,osgeo:ConceptReview,owl:NamedIndividual,,,,,
408,osgeo-review:Review408,osgeo:ConceptReview,owl:NamedIndividual,,,,,
409,osgeo-review:Review409,osgeo:ConceptReview,owl:NamedIndividual,,,,,
410,osgeo-review:Review410,osgeo:ConceptReview,owl:NamedIndividual,,,,,
411,osgeo-review:Review411,osgeo:ConceptReview,owl:NamedIndividual,,,,,
412,osgeo-review:Review412,osgeo:ConceptReview,owl:NamedIndividual,,,,,
413,osgeo-review:Review413,osgeo:ConceptReview,owl:NamedIndividual,,,,,
414,osgeo-review:Review414,osgeo:ConceptReview,owl:NamedIndividual,,,,,
415,osgeo-review:Review415,osgeo:ConceptReview,owl:NamedIndividual,,,,,
416,osgeo-review:Review416,osgeo:ConceptReview,owl:NamedIndividual,,,,,
417,osgeo-review:Review417,osgeo:ConceptReview,owl:NamedIndividual,,,,,
418,osgeo-review:Review418,osgeo:ConceptReview,owl:NamedIndividual,,,,,
419,osgeo-review:Review419,osgeo:ConceptReview,owl:NamedIndividual,,,,,
420,osgeo-review:Review420,osgeo:ConceptReview,owl:NamedIndividual,,,,,
421,osgeo-review:Review421,osgeo:ConceptReview,owl:NamedIndividual,,,,,
422,osgeo-review:Review422,osgeo:ConceptReview,owl:NamedIndividual,,,,,
423,osgeo-review:Review423,osgeo:ConceptReview,owl:NamedIndividual,,,,,
424,osgeo-review:Review424,osgeo:ConceptReview,owl:NamedIndividual,,,,,
425,osgeo-review:Review425,osgeo:ConceptReview,owl:NamedIndividual,,,,,
426,osgeo-review:Review426,osgeo:ConceptReview,owl:NamedIndividual,,,,,
427,osgeo-review:Review427,osgeo:ConceptReview,owl:NamedIndividual,,,,,
428,osgeo-review:Review428,osgeo:ConceptReview,owl:NamedIndividual,,,,,
429,osgeo-review:Review429,osgeo:ConceptReview,owl:NamedIndividual,,,,,
430,osgeo-review:Review430,osgeo:ConceptReview,owl:NamedIndividual,,,,,
431,osgeo-review:Review431,osgeo:ConceptReview,owl:NamedIndividual,,,,,
432,osgeo-review:Review432,osgeo:ConceptReview,owl:NamedIndividual,,,,,
433,osgeo-review:Review433,osgeo:ConceptReview,owl:NamedIndividual,,,,,
434,osgeo-review:Review434,osgeo:ConceptReview,owl:NamedIndividual,,,,,
435,osgeo-review:Review435,osgeo:ConceptReview,owl:NamedIndividual,,,,,
436,osgeo-review:Review436,osgeo:ConceptReview,owl:NamedIndividual,,,,,
437,osgeo-review:Review437,osgeo:ConceptReview,owl:NamedIndividual,,,,,
438,osgeo-review:Review438,osgeo:ConceptReview,owl:NamedIndividual,,,,,
439,osgeo-review:Review439,osgeo:ConceptReview,owl:NamedIndividual,,,,,
440,osgeo-review:Review440,osgeo:ConceptReview,owl:NamedIndividual,,,,,
441,osgeo-review:Review441,osgeo:ConceptReview,owl:NamedIndividual,,,,,
442,osgeo-review:Review442,osgeo:ConceptReview,owl:NamedIndividual,,,,,
443,osgeo-review:Review443,osgeo:ConceptReview,owl:NamedIndividual,,,,,
444,osgeo-review:Review444,osgeo:ConceptReview,owl:NamedIndividual,,,,,
