dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
77,osgeo-review:Review77,osgeo:ConceptReview,owl:NamedIndividual,,,,,
78,osgeo-review:Review78,osgeo:ConceptReview,owl:NamedIndividual,,,,,
79,osgeo-review:Review79,osgeo:ConceptReview,owl:NamedIndividual,,,,,
80,osgeo-review:Review80,osgeo:ConceptReview,owl:NamedIndividual,,,,,
81,osgeo-review:Review81,osgeo:ConceptReview,owl:NamedIndividual,,,,,
82,osgeo-review:Review82,osgeo:ConceptReview,owl:NamedIndividual,,,,,
83,osgeo-review:Review83,osgeo:ConceptReview,owl:NamedIndividual,,,,,
84,osgeo-review:Review84,osgeo:ConceptReview,owl:NamedIndividual,,,,,
85,osgeo-review:Review85,osgeo:ConceptReview,owl:NamedIndividual,,,,,
86,osgeo-review:Review86,osgeo:ConceptReview,owl:NamedIndividual,,,,,
87,osgeo-review:Review87,osgeo:ConceptReview,owl:NamedIndividual,,,,,
88,osgeo-review:Review88,osgeo:ConceptReview,owl:NamedIndividual,,,,,
89,osgeo-review:Review89,osgeo:ConceptReview,owl:NamedIndividual,,,,,
90,osgeo-review:Review90,osgeo:ConceptReview,owl:NamedIndividual,,,,,
91,osgeo-review:Review91,osgeo:ConceptReview,owl:NamedIndividual,,,,,
92,osgeo-review:Review92,osgeo:ConceptReview,owl:NamedIndividual,,,,,
93,osgeo-review:Review93,osgeo:ConceptReview,owl:NamedIndividual,,,,,
94,osgeo-review:Review94,osgeo:ConceptReview,owl:NamedIndividual,,,,,
95,osgeo-review:Review95,osgeo:ConceptReview,owl:NamedIndividual,,,,,
96,osgeo-review:Review96,osgeo:ConceptReview,owl:NamedIndividual,,,,,
97,osgeo-review:Review97,osgeo:ConceptReview,owl:NamedIndividual,,,,,
98,osgeo-review:Review98,osgeo:ConceptReview,owl:NamedIndividual,,,,,
99,osgeo-review:Review99,osgeo:ConceptReview,owl:NamedIndividual,,,,,
100,osgeo-review:Review100,osgeo:ConceptReview,owl:NamedIndividual,,,,,
101,osgeo-review:Review101,osgeo:ConceptReview,owl:NamedIndividual,,,,,
102,osgeo-review:Review102,osgeo:ConceptReview,owl:NamedIndividual,,,,,
103,osgeo-review:Review103,osgeo:ConceptReview,owl:NamedIndividual,,,,,
104,osgeo-review:Review104,osgeo:ConceptReview,owl:NamedIndividual,,,,,
105,osgeo-review:Review105,osgeo:ConceptReview,owl:NamedIndividual,,,,,
106,osgeo-review:Review106,osgeo:ConceptReview,owl:NamedIndividual,,,,,
