source,label
https://isotc211.geolexica.org/api/sources#ISO-19148-2012,ISO 19148:2012
https://isotc211.geolexica.org/api/sources#ISO-19150-2015,ISO 19150-2:2015
https://isotc211.geolexica.org/api/sources#ISO-19150-2019,ISO 19150-4:2019
https://isotc211.geolexica.org/api/sources#ISO-19152-2012,ISO 19152:2012
https://isotc211.geolexica.org/api/sources#ISO-19153-2014,ISO 19153:2014
https://isotc211.geolexica.org/api/sources#ISO-19154-2014,ISO 19154:2014
https://isotc211.geolexica.org/api/sources#ISO-19155-2017,ISO 19155-2:2017
https://isotc211.geolexica.org/api/sources#ISO-19155-2012,ISO 19155:2012
https://isotc211.geolexica.org/api/sources#ISO-19156-2011,ISO 19156:2011
https://isotc211.geolexica.org/api/sources#ISO-19157-2013,ISO 19157:2013
https://isotc211.geolexica.org/api/sources#ISO-19160-2015,ISO 19160-1:2015
https://isotc211.geolexica.org/api/sources#ISO-19160-2017,ISO 19160-4:2017
https://isotc211.geolexica.org/api/sources#ISO-19161-2020,ISO 19161-1:2020
https://isotc211.geolexica.org/api/sources#ISO-19162-2015,ISO 19162:2015
https://isotc211.geolexica.org/api/sources#ISO-19162-2019,ISO 19162:2019
https://isotc211.geolexica.org/api/sources#ISO-22028-1-2016,ISO 22028-1:2016
https://isotc211.geolexica.org/api/sources#ISO-24619-2011,ISO 24619:2011
https://isotc211.geolexica.org/api/sources#ISO-2859-1,ISO 2859-1
https://isotc211.geolexica.org/api/sources#ISO-2859-5,ISO 2859-5:2005
https://isotc211.geolexica.org/api/sources#ISO-31-2-1992,ISO 31-2:1992
https://isotc211.geolexica.org/api/sources#ISO-3534-1-1993,ISO 3534-1:1993
https://isotc211.geolexica.org/api/sources#ISO-3534-2-2006,ISO 3534-2:2006
https://isotc211.geolexica.org/api/sources#ISO-5127-2001,ISO 5127:2001
https://isotc211.geolexica.org/api/sources#ISO-6709-2008,ISO 6709:2008
https://isotc211.geolexica.org/api/sources#ISO-80000-7-2008,ISO 80000-7:2008
https://isotc211.geolexica.org/api/sources#ISO-8601-2000,ISO 8601:2000
https://isotc211.geolexica.org/api/sources#ISO-860-2007,ISO 860:2007
https://isotc211.geolexica.org/api/sources#ISO-9000-2005,ISO 9000:2005
https://isotc211.geolexica.org/api/sources#ISO-9000-2015,ISO 9000:2015
https://isotc211.geolexica.org/api/sources#ISO-10746-2-2009,ISO/IEC 10746-2:2009
https://isotc211.geolexica.org/api/sources#ISO-IEC-10746-2009,ISO/IEC 10746-2:2009
https://isotc211.geolexica.org/api/sources#ISO-10746-3-1996,ISO/IEC 10746-3:1996
https://isotc211.geolexica.org/api/sources#ISO-10746-3-2009,ISO/IEC 10746-3:2009
https://isotc211.geolexica.org/api/sources#ISO-IEC-10746-2009,ISO/IEC 10746-3:2009
https://isotc211.geolexica.org/api/sources#ISO-IEC-10746-2015,ISO/IEC 10746-3:2015
https://isotc211.geolexica.org/api/sources#ISO-IEC-19501,ISO/IEC 19501
https://isotc211.geolexica.org/api/sources#ISO-IEC-19501-2005,ISO/IEC 19501:2005
https://isotc211.geolexica.org/api/sources#ISO-21000-5,ISO/IEC 21000-5:2004
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-1999,ISO/IEC 2382-15:1999
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-1993,ISO/IEC 2382-1:1993
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-2009,"ISO/IEC 2382:2009, 2121317"
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-2015,ISO/IEC 2382:2015
https://isotc211.geolexica.org/api/sources#ISO-9075-2011,ISO/IEC 9075-2:2011
https://isotc211.geolexica.org/api/sources#ISO-9075-2016,ISO/IEC 9075-2:2016
https://isotc211.geolexica.org/api/sources#ISO-Guide-2-2004,ISO/IEC Guide 2:2004
https://isotc211.geolexica.org/api/sources#ISO-Guide-99-2007,ISO/IEC Guide 99:2007
https://isotc211.geolexica.org/api/sources#ISO-10000-1-1998,ISO/IEC TR 10000-1:1998
https://isotc211.geolexica.org/api/sources#ISO-21000-1-2004,ISO/IEC TR 21000-1:2004
https://isotc211.geolexica.org/api/sources#ISO-IEC-9945-2009,ISO/IEC/IEEE 9945:2009
https://isotc211.geolexica.org/api/sources#ISO-19120-2001,ISO/TR 19120:2001
https://isotc211.geolexica.org/api/sources#ISO-19104-2008,ISO/TS 19104:2008
https://isotc211.geolexica.org/api/sources#ISO-19129-2009,ISO/TS 19129:2009
https://isotc211.geolexica.org/api/sources#ISO-19130-2-2014,ISO/TS 19130-2:2014
https://isotc211.geolexica.org/api/sources#ISO-19130-2010,ISO/TS 19130:2010
https://isotc211.geolexica.org/api/sources#ISO-19138-2006,ISO/TS 19138:2006
https://isotc211.geolexica.org/api/sources#ISO-19158-2012,ISO/TS 19158:2012
https://isotc211.geolexica.org/api/sources#ISO-19159-2014,ISO/TS 19159-1:2014
https://isotc211.geolexica.org/api/sources#ISO-19159-2016,ISO/TS 19159-2:2016
https://isotc211.geolexica.org/api/sources#ISO-19159-2018,ISO/TS 19159-3:2018
https://isotc211.geolexica.org/api/sources#ISO-19163-2016,ISO/TS 19163-1:2016
https://isotc211.geolexica.org/api/sources#ISO-27790-2009,ISO/TS 27790:2009
https://isotc211.geolexica.org/api/sources#ITU-R-686-1,"ITU-R Rec.TF.686-1 , (1997)"
https://isotc211.geolexica.org/api/sources#Implem_Spec_St_Law,Implementation Specification — a Draught Information System for the St. Lawrence Seaway
https://isotc211.geolexica.org/api/sources#Jensen_1994,"Jensen et al., (1994)"
https://isotc211.geolexica.org/api/sources#Manual_Photogram,Manual of Photogrammetry
https://isotc211.geolexica.org/api/sources#NISTIR_7117,NISTIR 7117
https://isotc211.geolexica.org/api/sources#New_Concepts_BASIS,New Concepts in BASIS Licensing
https://isotc211.geolexica.org/api/sources#OASIS-RAF,OASIS RAF
https://isotc211.geolexica.org/api/sources#UML_Semantics,"OMG/UML UML Semantics, version 1.3, 1997."
https://isotc211.geolexica.org/api/sources#OWL,OWL Web Ontology Language Guide
https://isotc211.geolexica.org/api/sources#RDF,"RDF, Resource Description Framework"
https://isotc211.geolexica.org/api/sources#SOA-RAF,SOA-RAF
https://isotc211.geolexica.org/api/sources#STM_E2544,STM E2544
https://isotc211.geolexica.org/api/sources#TR_Law_Dict,"Thomson Reuters, “Law Dictionary,” FindLaw, for legal professionals, 2010, available at <http://dictionary.lp.findlaw.com/>"
https://isotc211.geolexica.org/api/sources#Title-17-Sec-107,"U.S. legal term derived from Title 17 of the United States Code, Section 107"
https://isotc211.geolexica.org/api/sources#UN-ECE-2004,"UN/ECE, 2004"
https://isotc211.geolexica.org/api/sources#UNFAO-LCCS-2005,UNFAO LCCS 2:2005
https://isotc211.geolexica.org/api/sources#UPU_Standards_Glossary,UPU Standards Glossary
https://isotc211.geolexica.org/api/sources#UML-1x,Unified Modeling Language 1.x
https://isotc211.geolexica.org/api/sources#UML-2,Unified Modeling Language 2.0
https://isotc211.geolexica.org/api/sources#VIM_1993,VIM:1993
https://isotc211.geolexica.org/api/sources#W3C-XLink-2001,W3C XLink:2001
https://isotc211.geolexica.org/api/sources#W3C-XML,W3C XML
https://isotc211.geolexica.org/api/sources#W3C-Web-Srvc-Gloss,"W3C, Web Services Glossary"
https://isotc211.geolexica.org/api/sources#XrML-2-spec,XrML 2.0 specification
https://isotc211.geolexica.org/api/sources#searchcio-techtarget,https://searchcio.techtarget.com/
