s,p,o
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#jpn
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#kor
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#rus
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#spa
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#swe
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasLangCode,https://isotc211.geolexica.org/api/language#zho
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#hasReview,https://isotc211.geolexica.org/api/reviews#Review6
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,ATS
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#abbreviation,م ا ت
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#ara-note,ملاحظة: توصف مجموعات الاختبار التجريدي في فقرة للمطابقة
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#dan-note,Bemærk til posten: Abstrakte testsuiter er beskrevet i en overensstemmelsesklausul.
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#deu-note,https://isotc211.geolexica.org/api/notes#DefnTransUnavail
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#deu-note,https://isotc211.geolexica.org/api/notes#NoteTransUnavail
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#eng-note,Note to entry: Abstract test suites are described in a conformance clause.
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#fin-note,HUOM.: Abstraktit testisarjat on kuvattu vaatimuksenmukaisuuden määrittelyssä.
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#jpn-note,備考： 抽象試験項目群は，適合性の箇条において記述する。
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#kor-note,비고: 추상 시험 스위트는 적합성 조항에서 기술되어 있다.
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#rus-note,Примечание: Комплексы абстрактных тестов описываются в разделе «Соответствие» международного стандарта
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#spa-note,Nota: Los conjuntos de pruebas genéricas se describen en un capítulo de conformidad.
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#swe-note,https://isotc211.geolexica.org/api/notes#NoteTransUnavail
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/language#zho-note,注： 抽象测试套件由一致性条款进行描述。
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#araRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#danRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#deuRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#engRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#finRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#fraRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#jpnRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#korRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#rusRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#spaRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#sweRegistry
https://isotc211.geolexica.org/api/concepts/6/abstract_test_suite,https://isotc211.geolexica.org/api/geolexica#origin,https://isotc211.geolexica.org/api/language#zhoRegistry
